"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2016,3,15,2,2016-03-15,"DL",19790,"DL","982",10397,"ATL","Atlanta, GA","GA",12953,"LGA","New York, NY","NY","1445","1503",18.00,18.00,26.00,7.00,"1701","1723",22.00,22.00,0.00,"",0.00,136.00,140.00,107.00,1.00,762.00,0.00,0.00,22.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","983",12953,"LGA","New York, NY","NY",10397,"ATL","Atlanta, GA","GA","1359","1403",4.00,4.00,36.00,5.00,"1645","1631",-14.00,0.00,0.00,"",0.00,166.00,148.00,107.00,1.00,762.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","984",10397,"ATL","Atlanta, GA","GA",12478,"JFK","New York, NY","NY","2050","2048",-2.00,0.00,18.00,5.00,"2321","2258",-23.00,0.00,0.00,"",0.00,151.00,130.00,107.00,1.00,760.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","985",10397,"ATL","Atlanta, GA","GA",13303,"MIA","Miami, FL","FL","0725","0810",45.00,45.00,27.00,7.00,"0915","1013",58.00,58.00,0.00,"",0.00,110.00,123.00,89.00,1.00,594.00,45.00,0.00,13.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","985",13303,"MIA","Miami, FL","FL",10397,"ATL","Atlanta, GA","GA","0955","1059",64.00,64.00,13.00,15.00,"1159","1255",56.00,56.00,0.00,"",0.00,124.00,116.00,88.00,1.00,594.00,5.00,0.00,0.00,0.00,51.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","986",10397,"ATL","Atlanta, GA","GA",12953,"LGA","New York, NY","NY","0745","0740",-5.00,0.00,30.00,17.00,"1000","1020",20.00,20.00,0.00,"",0.00,135.00,160.00,113.00,1.00,762.00,0.00,0.00,20.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","987",13930,"ORD","Chicago, IL","IL",10397,"ATL","Atlanta, GA","GA","1000","0952",-8.00,0.00,16.00,5.00,"1254","1235",-19.00,0.00,0.00,"",0.00,114.00,103.00,82.00,1.00,606.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","988",13485,"MSN","Madison, WI","WI",13487,"MSP","Minneapolis, MN","MN","0655","0650",-5.00,0.00,14.00,3.00,"0811","0813",2.00,2.00,0.00,"",0.00,76.00,83.00,66.00,1.00,228.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","990",10397,"ATL","Atlanta, GA","GA",13244,"MEM","Memphis, TN","TN","1055","1054",-1.00,0.00,19.00,3.00,"1118","1115",-3.00,0.00,0.00,"",0.00,83.00,81.00,59.00,1.00,332.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","990",13244,"MEM","Memphis, TN","TN",10397,"ATL","Atlanta, GA","GA","1157","1152",-5.00,0.00,9.00,5.00,"1425","1356",-29.00,0.00,0.00,"",0.00,88.00,64.00,50.00,1.00,332.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","991",10397,"ATL","Atlanta, GA","GA",11298,"DFW","Dallas/Fort Worth, TX","TX","1000","0958",-2.00,0.00,19.00,6.00,"1135","1120",-15.00,0.00,0.00,"",0.00,155.00,142.00,117.00,1.00,731.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","991",11298,"DFW","Dallas/Fort Worth, TX","TX",10397,"ATL","Atlanta, GA","GA","1215","1214",-1.00,0.00,18.00,5.00,"1524","1507",-17.00,0.00,0.00,"",0.00,129.00,113.00,90.00,1.00,731.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","992",14730,"SDF","Louisville, KY","KY",10397,"ATL","Atlanta, GA","GA","0835","0826",-9.00,0.00,18.00,11.00,"1004","0947",-17.00,0.00,0.00,"",0.00,89.00,81.00,52.00,1.00,321.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","993",14100,"PHL","Philadelphia, PA","PA",10397,"ATL","Atlanta, GA","GA","1910","1905",-5.00,0.00,12.00,5.00,"2130","2059",-31.00,0.00,0.00,"",0.00,140.00,114.00,97.00,1.00,666.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","994",13487,"MSP","Minneapolis, MN","MN",13342,"MKE","Milwaukee, WI","WI","2020","2025",5.00,5.00,25.00,14.00,"2136","2208",32.00,32.00,0.00,"",0.00,76.00,103.00,64.00,1.00,297.00,0.00,0.00,32.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","995",13204,"MCO","Orlando, FL","FL",14869,"SLC","Salt Lake City, UT","UT","0550","0552",2.00,2.00,12.00,10.00,"0852","0900",8.00,8.00,0.00,"",0.00,302.00,308.00,286.00,1.00,1931.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","996",10397,"ATL","Atlanta, GA","GA",11292,"DEN","Denver, CO","CO","1915","1913",-2.00,0.00,10.00,9.00,"2046","2028",-18.00,0.00,0.00,"",0.00,211.00,195.00,176.00,1.00,1199.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","997",12451,"JAX","Jacksonville, FL","FL",10397,"ATL","Atlanta, GA","GA","0829","0827",-2.00,0.00,15.00,8.00,"0950","0933",-17.00,0.00,0.00,"",0.00,81.00,66.00,43.00,1.00,270.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","998",10208,"AGS","Augusta, GA","GA",10397,"ATL","Atlanta, GA","GA","0630","0626",-4.00,0.00,10.00,5.00,"0727","0714",-13.00,0.00,0.00,"",0.00,57.00,48.00,33.00,1.00,143.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","999",14100,"PHL","Philadelphia, PA","PA",13487,"MSP","Minneapolis, MN","MN","0825","0820",-5.00,0.00,22.00,11.00,"1027","1023",-4.00,0.00,0.00,"",0.00,182.00,183.00,150.00,1.00,980.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1050",11697,"FLL","Fort Lauderdale, FL","FL",11433,"DTW","Detroit, MI","MI","0945","0939",-6.00,0.00,18.00,7.00,"1249","1237",-12.00,0.00,0.00,"",0.00,184.00,178.00,153.00,1.00,1127.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1051",10397,"ATL","Atlanta, GA","GA",10599,"BHM","Birmingham, AL","AL","0811","0809",-2.00,0.00,10.00,4.00,"0808","0748",-20.00,0.00,0.00,"",0.00,57.00,39.00,25.00,1.00,134.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1051",10599,"BHM","Birmingham, AL","AL",10397,"ATL","Atlanta, GA","GA","0843","0841",-2.00,0.00,12.00,5.00,"1040","1031",-9.00,0.00,0.00,"",0.00,57.00,50.00,33.00,1.00,134.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1052",10397,"ATL","Atlanta, GA","GA",13342,"MKE","Milwaukee, WI","WI","1215","1215",0.00,0.00,14.00,3.00,"1318","1303",-15.00,0.00,0.00,"",0.00,123.00,108.00,91.00,1.00,669.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1052",13342,"MKE","Milwaukee, WI","WI",10397,"ATL","Atlanta, GA","GA","1358","1357",-1.00,0.00,13.00,5.00,"1700","1648",-12.00,0.00,0.00,"",0.00,122.00,111.00,93.00,1.00,669.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1053",10397,"ATL","Atlanta, GA","GA",14027,"PBI","West Palm Beach/Palm Beach, FL","FL","1636","1636",0.00,0.00,14.00,3.00,"1826","1811",-15.00,0.00,0.00,"",0.00,110.00,95.00,78.00,1.00,545.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1053",14027,"PBI","West Palm Beach/Palm Beach, FL","FL",10397,"ATL","Atlanta, GA","GA","1916","1913",-3.00,0.00,15.00,10.00,"2115","2100",-15.00,0.00,0.00,"",0.00,119.00,107.00,82.00,1.00,545.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1054",10529,"BDL","Hartford, CT","CT",10397,"ATL","Atlanta, GA","GA","0720","0724",4.00,4.00,20.00,5.00,"1002","0952",-10.00,0.00,0.00,"",0.00,162.00,148.00,123.00,1.00,859.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1055",11433,"DTW","Detroit, MI","MI",10721,"BOS","Boston, MA","MA","1345","1342",-3.00,0.00,14.00,8.00,"1540","1535",-5.00,0.00,0.00,"",0.00,115.00,113.00,91.00,1.00,632.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1056",14831,"SJC","San Jose, CA","CA",13487,"MSP","Minneapolis, MN","MN","0630","0628",-2.00,0.00,14.00,6.00,"1214","1201",-13.00,0.00,0.00,"",0.00,224.00,213.00,193.00,1.00,1576.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1057",11433,"DTW","Detroit, MI","MI",11057,"CLT","Charlotte, NC","NC","1650","1644",-6.00,0.00,12.00,11.00,"1837","1823",-14.00,0.00,0.00,"",0.00,107.00,99.00,76.00,1.00,500.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1058",10397,"ATL","Atlanta, GA","GA",13204,"MCO","Orlando, FL","FL","1355","1349",-6.00,0.00,26.00,10.00,"1524","1521",-3.00,0.00,0.00,"",0.00,89.00,92.00,56.00,1.00,404.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1058",13204,"MCO","Orlando, FL","FL",10397,"ATL","Atlanta, GA","GA","1629","1625",-4.00,0.00,21.00,5.00,"1811","1754",-17.00,0.00,0.00,"",0.00,102.00,89.00,63.00,1.00,404.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1059",14869,"SLC","Salt Lake City, UT","UT",10721,"BOS","Boston, MA","MA","0955","0954",-1.00,0.00,41.00,10.00,"1626","1645",19.00,19.00,0.00,"",0.00,271.00,291.00,240.00,1.00,2105.00,0.00,0.00,19.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1061",12892,"LAX","Los Angeles, CA","CA",13204,"MCO","Orlando, FL","FL","1030","1044",14.00,14.00,19.00,7.00,"1821","1817",-4.00,0.00,0.00,"",0.00,291.00,273.00,247.00,1.00,2218.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1061",13204,"MCO","Orlando, FL","FL",12892,"LAX","Los Angeles, CA","CA","1937","1934",-3.00,0.00,12.00,32.00,"2220","2228",8.00,8.00,0.00,"",0.00,343.00,354.00,310.00,1.00,2218.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1062",10397,"ATL","Atlanta, GA","GA",10529,"BDL","Hartford, CT","CT","2205","2204",-1.00,0.00,16.00,7.00,"0026","0019",-7.00,0.00,0.00,"",0.00,141.00,135.00,112.00,1.00,859.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1063",10397,"ATL","Atlanta, GA","GA",11278,"DCA","Washington, DC","VA","1420","1419",-1.00,0.00,12.00,3.00,"1604","1555",-9.00,0.00,0.00,"",0.00,104.00,96.00,81.00,1.00,547.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1064",14747,"SEA","Seattle, WA","WA",10299,"ANC","Anchorage, AK","AK","1125","1132",7.00,7.00,21.00,3.00,"1404","1406",2.00,2.00,0.00,"",0.00,219.00,214.00,190.00,1.00,1448.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1064",14869,"SLC","Salt Lake City, UT","UT",14747,"SEA","Seattle, WA","WA","0934","0944",10.00,10.00,17.00,10.00,"1044","1102",18.00,18.00,0.00,"",0.00,130.00,138.00,111.00,1.00,689.00,8.00,0.00,8.00,0.00,2.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1065",10529,"BDL","Hartford, CT","CT",10397,"ATL","Atlanta, GA","GA","0600","0558",-2.00,0.00,12.00,3.00,"0841","0812",-29.00,0.00,0.00,"",0.00,161.00,134.00,119.00,1.00,859.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1066",10397,"ATL","Atlanta, GA","GA",10693,"BNA","Nashville, TN","TN","0955","0955",0.00,0.00,14.00,7.00,"1001","0958",-3.00,0.00,0.00,"",0.00,66.00,63.00,42.00,1.00,214.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1066",10693,"BNA","Nashville, TN","TN",10397,"ATL","Atlanta, GA","GA","1045","1043",-2.00,0.00,13.00,6.00,"1254","1239",-15.00,0.00,0.00,"",0.00,69.00,56.00,37.00,1.00,214.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1067",10397,"ATL","Atlanta, GA","GA",12266,"IAH","Houston, TX","TX","1530","1526",-4.00,0.00,20.00,7.00,"1648","1644",-4.00,0.00,0.00,"",0.00,138.00,138.00,111.00,1.00,689.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1068",10397,"ATL","Atlanta, GA","GA",13851,"OKC","Oklahoma City, OK","OK","1340","1338",-2.00,0.00,15.00,3.00,"1501","1448",-13.00,0.00,0.00,"",0.00,141.00,130.00,112.00,1.00,761.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1068",13851,"OKC","Oklahoma City, OK","OK",10397,"ATL","Atlanta, GA","GA","1536","1537",1.00,1.00,10.00,5.00,"1843","1824",-19.00,0.00,0.00,"",0.00,127.00,107.00,92.00,1.00,761.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1069",13871,"OMA","Omaha, NE","NE",10397,"ATL","Atlanta, GA","GA","0540","0535",-5.00,0.00,14.00,12.00,"0856","0854",-2.00,0.00,0.00,"",0.00,136.00,139.00,113.00,1.00,821.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1070",12892,"LAX","Los Angeles, CA","CA",14831,"SJC","San Jose, CA","CA","0805","0756",-9.00,0.00,14.00,3.00,"0929","0903",-26.00,0.00,0.00,"",0.00,84.00,67.00,50.00,1.00,308.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1070",14831,"SJC","San Jose, CA","CA",12892,"LAX","Los Angeles, CA","CA","1024","1020",-4.00,0.00,17.00,3.00,"1145","1131",-14.00,0.00,0.00,"",0.00,81.00,71.00,51.00,1.00,308.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1072",10397,"ATL","Atlanta, GA","GA",14122,"PIT","Pittsburgh, PA","PA","2215","2211",-4.00,0.00,26.00,3.00,"2356","2349",-7.00,0.00,0.00,"",0.00,101.00,98.00,69.00,1.00,526.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1073",13487,"MSP","Minneapolis, MN","MN",14057,"PDX","Portland, OR","OR","0910","0907",-3.00,0.00,11.00,3.00,"1057","1031",-26.00,0.00,0.00,"",0.00,227.00,204.00,190.00,1.00,1426.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1073",14057,"PDX","Portland, OR","OR",13487,"MSP","Minneapolis, MN","MN","1140","1138",-2.00,0.00,12.00,6.00,"1654","1653",-1.00,0.00,0.00,"",0.00,194.00,195.00,177.00,1.00,1426.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1074",14869,"SLC","Salt Lake City, UT","UT",13487,"MSP","Minneapolis, MN","MN","1710","1703",-7.00,0.00,18.00,3.00,"2042","2028",-14.00,0.00,0.00,"",0.00,152.00,145.00,124.00,1.00,991.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1075",10397,"ATL","Atlanta, GA","GA",13232,"MDW","Chicago, IL","IL","2130","2127",-3.00,0.00,20.00,4.00,"2227","2216",-11.00,0.00,0.00,"",0.00,117.00,109.00,85.00,1.00,591.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1076",12953,"LGA","New York, NY","NY",13303,"MIA","Miami, FL","FL","0930","0923",-7.00,0.00,34.00,7.00,"1259","1231",-28.00,0.00,0.00,"",0.00,209.00,188.00,147.00,1.00,1096.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1078",14193,"PNS","Pensacola, FL","FL",10397,"ATL","Atlanta, GA","GA","0715","0712",-3.00,0.00,13.00,9.00,"0926","0918",-8.00,0.00,0.00,"",0.00,71.00,66.00,44.00,1.00,271.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1079",13487,"MSP","Minneapolis, MN","MN",15304,"TPA","Tampa, FL","FL","0712","0705",-7.00,0.00,40.00,4.00,"1120","1130",10.00,10.00,0.00,"",0.00,188.00,205.00,161.00,1.00,1306.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1080",15016,"STL","St. Louis, MO","MO",10397,"ATL","Atlanta, GA","GA","0615","0608",-7.00,0.00,23.00,7.00,"0848","0850",2.00,2.00,0.00,"",0.00,93.00,102.00,72.00,1.00,484.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1081",13487,"MSP","Minneapolis, MN","MN",11433,"DTW","Detroit, MI","MI","1019","1016",-3.00,0.00,20.00,8.00,"1259","1308",9.00,9.00,0.00,"",0.00,100.00,112.00,84.00,1.00,528.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1082",13796,"OAK","Oakland, CA","CA",14869,"SLC","Salt Lake City, UT","UT","1125","1125",0.00,0.00,10.00,5.00,"1404","1359",-5.00,0.00,0.00,"",0.00,99.00,94.00,79.00,1.00,588.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1082",14869,"SLC","Salt Lake City, UT","UT",13796,"OAK","Oakland, CA","CA","0945","0945",0.00,0.00,21.00,5.00,"1042","1051",9.00,9.00,0.00,"",0.00,117.00,126.00,100.00,1.00,588.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1083",11042,"CLE","Cleveland, OH","OH",10397,"ATL","Atlanta, GA","GA","0900","0857",-3.00,0.00,10.00,5.00,"1055","1030",-25.00,0.00,0.00,"",0.00,115.00,93.00,78.00,1.00,554.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1084",14635,"RSW","Fort Myers, FL","FL",10397,"ATL","Atlanta, GA","GA","0755","0747",-8.00,0.00,18.00,4.00,"0945","0935",-10.00,0.00,0.00,"",0.00,110.00,108.00,86.00,1.00,515.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1085",10397,"ATL","Atlanta, GA","GA",14492,"RDU","Raleigh/Durham, NC","NC","2216","2213",-3.00,0.00,17.00,5.00,"2337","2336",-1.00,0.00,0.00,"",0.00,81.00,83.00,61.00,1.00,356.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1087",10397,"ATL","Atlanta, GA","GA",11252,"DAB","Daytona Beach, FL","FL","1205","1210",5.00,5.00,28.00,4.00,"1323","1333",10.00,10.00,0.00,"",0.00,78.00,83.00,51.00,1.00,366.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1087",11252,"DAB","Daytona Beach, FL","FL",10397,"ATL","Atlanta, GA","GA","1413","1427",14.00,14.00,15.00,6.00,"1545","1545",0.00,0.00,0.00,"",0.00,92.00,78.00,57.00,1.00,366.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1088",10299,"ANC","Anchorage, AK","AK",13487,"MSP","Minneapolis, MN","MN","2130","2126",-4.00,0.00,22.00,4.00,"0547","0551",4.00,4.00,0.00,"",0.00,317.00,325.00,299.00,1.00,2519.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1088",13487,"MSP","Minneapolis, MN","MN",10299,"ANC","Anchorage, AK","AK","1737","1741",4.00,4.00,21.00,3.00,"2033","2002",-31.00,0.00,0.00,"",0.00,356.00,321.00,297.00,1.00,2519.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1090",10397,"ATL","Atlanta, GA","GA",12451,"JAX","Jacksonville, FL","FL","2215","2213",-2.00,0.00,18.00,3.00,"2325","2320",-5.00,0.00,0.00,"",0.00,70.00,67.00,46.00,1.00,270.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1091",12451,"JAX","Jacksonville, FL","FL",10397,"ATL","Atlanta, GA","GA","0530","0529",-1.00,0.00,12.00,4.00,"0640","0628",-12.00,0.00,0.00,"",0.00,70.00,59.00,43.00,1.00,270.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1092",12441,"JAC","Jackson, WY","WY",14869,"SLC","Salt Lake City, UT","UT","1251","1246",-5.00,0.00,33.00,10.00,"1350","1408",18.00,18.00,0.00,"",0.00,59.00,82.00,39.00,1.00,205.00,0.00,0.00,18.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1092",14869,"SLC","Salt Lake City, UT","UT",12441,"JAC","Jackson, WY","WY","1115","1112",-3.00,0.00,19.00,3.00,"1216","1217",1.00,1.00,0.00,"",0.00,61.00,65.00,43.00,1.00,205.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1093",12945,"LEX","Lexington, KY","KY",10397,"ATL","Atlanta, GA","GA","0725","0722",-3.00,0.00,9.00,5.00,"0857","0827",-30.00,0.00,0.00,"",0.00,92.00,65.00,51.00,1.00,304.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1095",10397,"ATL","Atlanta, GA","GA",11057,"CLT","Charlotte, NC","NC","1127","1124",-3.00,0.00,13.00,7.00,"1240","1225",-15.00,0.00,0.00,"",0.00,73.00,61.00,41.00,1.00,226.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1095",11057,"CLT","Charlotte, NC","NC",10397,"ATL","Atlanta, GA","GA","1320","1316",-4.00,0.00,24.00,4.00,"1446","1424",-22.00,0.00,0.00,"",0.00,86.00,68.00,40.00,1.00,226.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1096",11433,"DTW","Detroit, MI","MI",13487,"MSP","Minneapolis, MN","MN","1205","1155",-10.00,0.00,15.00,5.00,"1302","1245",-17.00,0.00,0.00,"",0.00,117.00,110.00,90.00,1.00,528.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1097",12892,"LAX","Los Angeles, CA","CA",14492,"RDU","Raleigh/Durham, NC","NC","1020","1019",-1.00,0.00,14.00,4.00,"1812","1740",-32.00,0.00,0.00,"",0.00,292.00,261.00,243.00,1.00,2239.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1098",13204,"MCO","Orlando, FL","FL",12953,"LGA","New York, NY","NY","1905","1901",-4.00,0.00,12.00,4.00,"2145","2129",-16.00,0.00,0.00,"",0.00,160.00,148.00,132.00,1.00,950.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1099",12953,"LGA","New York, NY","NY",10397,"ATL","Atlanta, GA","GA","1700","1817",77.00,77.00,39.00,6.00,"1952","2052",60.00,60.00,0.00,"",0.00,172.00,155.00,110.00,1.00,762.00,60.00,0.00,0.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1100",12889,"LAS","Las Vegas, NV","NV",10397,"ATL","Atlanta, GA","GA","2245","2237",-8.00,0.00,17.00,4.00,"0536","0514",-22.00,0.00,0.00,"",0.00,231.00,217.00,196.00,1.00,1747.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1101",13487,"MSP","Minneapolis, MN","MN",10821,"BWI","Baltimore, MD","MD","1932","1931",-1.00,0.00,9.00,8.00,"2301","2250",-11.00,0.00,0.00,"",0.00,149.00,139.00,122.00,1.00,936.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1102",15304,"TPA","Tampa, FL","FL",13487,"MSP","Minneapolis, MN","MN","0800","0752",-8.00,0.00,13.00,6.00,"1028","1010",-18.00,0.00,0.00,"",0.00,208.00,198.00,179.00,1.00,1306.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1103",11618,"EWR","Newark, NJ","NJ",10397,"ATL","Atlanta, GA","GA","0700","0657",-3.00,0.00,10.00,6.00,"0931","0857",-34.00,0.00,0.00,"",0.00,151.00,120.00,104.00,1.00,746.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1104",12173,"HNL","Honolulu, HI","HI",14869,"SLC","Salt Lake City, UT","UT","2055","2048",-7.00,0.00,22.00,6.00,"0706","0632",-34.00,0.00,0.00,"",0.00,371.00,344.00,316.00,1.00,2994.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1105",10397,"ATL","Atlanta, GA","GA",14869,"SLC","Salt Lake City, UT","UT","0805","0805",0.00,0.00,15.00,8.00,"1025","1005",-20.00,0.00,0.00,"",0.00,260.00,240.00,217.00,1.00,1590.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1105",14869,"SLC","Salt Lake City, UT","UT",12173,"HNL","Honolulu, HI","HI","1155","1158",3.00,3.00,21.00,11.00,"1452","1505",13.00,13.00,0.00,"",0.00,417.00,427.00,395.00,1.00,2994.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1106",14027,"PBI","West Palm Beach/Palm Beach, FL","FL",10397,"ATL","Atlanta, GA","GA","0700","0657",-3.00,0.00,12.00,8.00,"0853","0838",-15.00,0.00,0.00,"",0.00,113.00,101.00,81.00,1.00,545.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1107",10397,"ATL","Atlanta, GA","GA",14747,"SEA","Seattle, WA","WA","1932","1931",-1.00,0.00,25.00,5.00,"2205","2150",-15.00,0.00,0.00,"",0.00,333.00,319.00,289.00,1.00,2182.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1107",10994,"CHS","Charleston, SC","SC",10397,"ATL","Atlanta, GA","GA","1705","1700",-5.00,0.00,8.00,12.00,"1830","1803",-27.00,0.00,0.00,"",0.00,85.00,63.00,43.00,1.00,259.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1108",13495,"MSY","New Orleans, LA","LA",10397,"ATL","Atlanta, GA","GA","0800","0851",51.00,51.00,17.00,6.00,"1025","1116",51.00,51.00,0.00,"",0.00,85.00,85.00,62.00,1.00,425.00,51.00,0.00,0.00,0.00,0.00,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1109",15370,"TUL","Tulsa, OK","OK",10397,"ATL","Atlanta, GA","GA","0555","0555",0.00,0.00,14.00,6.00,"0850","0845",-5.00,0.00,0.00,"",0.00,115.00,110.00,90.00,1.00,674.00,,,,,,
2016,3,15,2,2016-03-15,"DL",19790,"DL","1110",10397,"ATL","Atlanta, GA","GA",13204,"MCO","Orlando, FL","FL","1755","1755",0.00,0.00,17.00,6.00,"1929","1915",-14.00,0.00,0.00,"",0.00,94.00,80.00,57.00,1.00,404.00,,,,,,
